Song,Artist,Billboard100,URI
Hold On,Wilson Phillips,1,4VZDv8sASBS8UruUBGTFdk
It Must Have Been Love,Roxette,1,6kvoHl80mfCVTv7XnZkjQn
Nothing Compares 2 U,Sinéad O'Connor,1,3nvuPQTw2zuFAVuLsC9IYQ
Poison,Bell Biv DeVoe,1,6m59VvDUi0UQsB2eZ9wVbH
Vogue,Madonna,1,27QvYgBk0CHOVHthWnkuWt
Vision of Love,Mariah Carey,1,0gLQ6jhJsyYfl7PrD1RZ7X
Another Day in Paradise,Phil Collins,1,4LlNoNZflek4hZyZigCxpW
Hold On,En Vogue,1,3ZqjDpr3qCZnZBPcd0Hpj2
Cradle of Love,Billy Idol,1,5TSANSqPTD6nBG0NSJWmVB
Blaze of Glory,Jon Bon Jovi,1,1sUTfgduT0WIQO8kXKXxLC
Do Me!,Bell Biv DeVoe,1,3an1aoJKoBXJKoIfdDbVwf
How Am I Supposed to Live Without You,Michael Bolton,1,3RMeOetCdXttthQK0clPuz
Pump Up the Jam,Technotronic,1,0UAEHlFR79k9CJvknSGUNf
Opposites Attract,Paula Abdul and The Wild Pair,1,7z38bideBRvGAgjXe2SECm
Escapade,Janet Jackson,1,5HAv1Ckfe50DUjv8ghwTrz
All I Wanna Do Is Make Love to You,Heart,1,5YjKdeES9QRJ8NmF4Xc8pV
Close to You,Maxi Priest,1,680kMGV6szhTiZbHRr3vLi
Black Velvet,Alannah Myles,1,1KU5EHSz04JhGg3rReGJ0N
Release Me,Wilson Phillips,1,1rIy3lkFJnMsTLZpxFmYU8
Don't Know Much,Linda Ronstadt and Aaron Neville,1,5z3ZDMP02xF33yCvPFnct3
All Around the World,Lisa Stansfield,1,0piPn2zyL4Yi60ml53qNXE
I Wanna Be Rich,Calloway,1,5bqNu0YfNOZpgl34bcJiFQ
Rub You the Right Way,Johnny Gill,1,40xz60ciGIpsRtDqRfPKBE
She Ain't Worth It,Glenn Medeiros and Bobby Brown,1,0Gb5bNSi7i8UhuNSfHHbS2
If Wishes Came True,Sweet Sensation,1,5gAdATsfINRIljv4LbrKX2
The Power,Snap!,1,1WKPfJ1v2fPni1AMnyWTNq
(Can't Live Without Your) Love and Affection,Nelson,1,3JjY2L2bqql54j1SjnjQ23
Love Will Lead You Back,Taylor Dayne,1,3HLgjHYaEhKFvV4SSvI9Te
Don't Wanna Fall in Love,Jane Child,1,6eozUVzr02EXMji1vuxgiP
Two to Make It Right,Seduction,1,6GS6uE1vDmtzxO8GztAR2O
Sending All My Love,Linear,1,6zNPPFFrxmhpTQejOn1Wm1
Unskinny Bop,Poison,1,1Z6lKdYhwp8WYoBqGCKxlM
Step by Step,New Kids on the Block,1,6J6RWKCPN5RFKHUKEUFjxS
Dangerous,Roxette,1,756YOXmKh2iUnx33nAdfPf
We Didn't Start the Fire,Billy Joel,1,3Cx4yrFaX8CeHwBMReOWXI
I Don't Have the Heart,James Ingram,1,5In7xBveNACCRX2uWNoPuW
Downtown Train,Rod Stewart,1,5ejvbc6guFJf4ouU3nzJuB
Rhythm Nation,Janet Jackson,1,4nTYxxF8iWBq54LO3dBUie
I'll Be Your Everything,Tommy Page,1,4K0fYuC7qJx5P7Yh0Ch2zo
Roam,The B-52s,1,5fqcIHU6DhQtFKVO5XSdQs
Everything,Jody Watley,1,5p4xF15jnsw1rfi55Gv1lU
Back to Life (However Do You Want Me),Soul II Soul,1,7ELuWpsuVCRBnOR9ZAZKDp
Here and Now,Luther Vandross,1,042pmCix7CPth3l3X28jl1
Alright,Janet Jackson,1,63W4sfeRTTiNKFLAzUJHFe
Ice Ice Baby,Vanilla Ice,1,3XVozq1aeqsJwpXrEZrDJ9
Blame It on the Rain,Milli Vanilli,1,0UUpyDCYzkziXJ1TM4awHM
