,Song,Artist,Billboard100,URI
0,Hold On,Wilson Phillips,1,4VZDv8sASBS8UruUBGTFdk
1,It Must Have Been Love,Roxette,1,6kvoHl80mfCVTv7XnZkjQn
2,Nothing Compares 2 U,Sinéad O'Connor,1,3nvuPQTw2zuFAVuLsC9IYQ
3,Poison,Bell Biv DeVoe,1,6m59VvDUi0UQsB2eZ9wVbH
4,Vogue,Madonna,1,27QvYgBk0CHOVHthWnkuWt
5,Vision of Love,Mariah Carey,1,0gLQ6jhJsyYfl7PrD1RZ7X
6,Another Day in Paradise,Phil Collins,1,4LlNoNZflek4hZyZigCxpW
8,Cradle of Love,Billy Idol,1,5TSANSqPTD6nBG0NSJWmVB
9,Blaze of Glory,Jon Bon Jovi,1,1sUTfgduT0WIQO8kXKXxLC
10,Do Me!,Bell Biv DeVoe,1,3an1aoJKoBXJKoIfdDbVwf
11,How Am I Supposed to Live Without You,Michael Bolton,1,3RMeOetCdXttthQK0clPuz
12,Pump Up the Jam,Technotronic,1,0UAEHlFR79k9CJvknSGUNf
13,Opposites Attract,Paula Abdul and The Wild Pair,1,7z38bideBRvGAgjXe2SECm
14,Escapade,Janet Jackson,1,5HAv1Ckfe50DUjv8ghwTrz
15,All I Wanna Do Is Make Love to You,Heart,1,5YjKdeES9QRJ8NmF4Xc8pV
16,Close to You,Maxi Priest,1,680kMGV6szhTiZbHRr3vLi
17,Black Velvet,Alannah Myles,1,1KU5EHSz04JhGg3rReGJ0N
18,Release Me,Wilson Phillips,1,1rIy3lkFJnMsTLZpxFmYU8
19,Don't Know Much,Linda Ronstadt and Aaron Neville,1,5z3ZDMP02xF33yCvPFnct3
20,All Around the World,Lisa Stansfield,1,0piPn2zyL4Yi60ml53qNXE
21,I Wanna Be Rich,Calloway,1,5bqNu0YfNOZpgl34bcJiFQ
22,Rub You the Right Way,Johnny Gill,1,40xz60ciGIpsRtDqRfPKBE
23,She Ain't Worth It,Glenn Medeiros and Bobby Brown,1,0Gb5bNSi7i8UhuNSfHHbS2
24,If Wishes Came True,Sweet Sensation,1,5gAdATsfINRIljv4LbrKX2
25,The Power,Snap!,1,1WKPfJ1v2fPni1AMnyWTNq
26,(Can't Live Without Your) Love and Affection,Nelson,1,3JjY2L2bqql54j1SjnjQ23
27,Love Will Lead You Back,Taylor Dayne,1,3HLgjHYaEhKFvV4SSvI9Te
28,Don't Wanna Fall in Love,Jane Child,1,6eozUVzr02EXMji1vuxgiP
29,Two to Make It Right,Seduction,1,6GS6uE1vDmtzxO8GztAR2O
30,Sending All My Love,Linear,1,6zNPPFFrxmhpTQejOn1Wm1
31,Unskinny Bop,Poison,1,1Z6lKdYhwp8WYoBqGCKxlM
32,Step by Step,New Kids on the Block,1,6J6RWKCPN5RFKHUKEUFjxS
33,Dangerous,Roxette,1,756YOXmKh2iUnx33nAdfPf
34,We Didn't Start the Fire,Billy Joel,1,3Cx4yrFaX8CeHwBMReOWXI
35,I Don't Have the Heart,James Ingram,1,5In7xBveNACCRX2uWNoPuW
36,Downtown Train,Rod Stewart,1,5ejvbc6guFJf4ouU3nzJuB
37,Rhythm Nation,Janet Jackson,1,4nTYxxF8iWBq54LO3dBUie
38,I'll Be Your Everything,Tommy Page,1,4K0fYuC7qJx5P7Yh0Ch2zo
39,Roam,The B-52s,1,5fqcIHU6DhQtFKVO5XSdQs
40,Everything,Jody Watley,1,5p4xF15jnsw1rfi55Gv1lU
41,Back to Life (However Do You Want Me),Soul II Soul,1,7ELuWpsuVCRBnOR9ZAZKDp
42,Here and Now,Luther Vandross,1,042pmCix7CPth3l3X28jl1
43,Alright,Janet Jackson,1,63W4sfeRTTiNKFLAzUJHFe
44,Ice Ice Baby,Vanilla Ice,1,3XVozq1aeqsJwpXrEZrDJ9
45,Blame It on the Rain,Milli Vanilli,1,0UUpyDCYzkziXJ1TM4awHM
46,Have You Seen Her,MC Hammer,1,2lvk6CUSHz4j8huQ25gH54
47,With Every Beat of My Heart,Taylor Dayne,1,3hK26G5cYhJ9KjcUy1aBRk
48,Come Back to Me,Janet Jackson,1,0NSSqYISjnav81CEn6EgBY
49,No More Lies,Michel'le,1,1Oz5bcZyzhiaEa3F06EiPY
50,Praying for Time,George Michael,1,7CgRXXie9XIxVSkpKi40ID
51,How Can We Be Lovers,Michael Bolton,1,0ZUjPkZKjzRi6bgIuJovfY
52,Do You Remember,Phil Collins,1,3TLtCHUaiMHcQcJVGVW2p2
53,Ready or Not,After 7,1,6AgDFWLbbAt2migXMbrhXT
54,U Can't Touch This,MC Hammer,1,1B75hgRqe7A4fwee3g3Wmu
55,I Wish It Would Rain Down,Phil Collins,1,4F2t297QK40XFcIHqkmLHs
56,Just Between You and Me,Lou Gramm,1,1fMvhGvNGrumP5MKKDf61e
57,Something Happened on the Way to Heaven,Phil Collins,1,4ziqqoW1o3P5EhNqK6CPb1
58,Black Cat,Janet Jackson,1,4tYpYYoOI7WDxbCnPninwE
59,Can't Stop,After 7,1,1TYt5etb427hvOod3EKJA5
60,Janie's Got a Gun,Aerosmith,1,5fMwvrqujbQjUxcNPcYrUF
61,The Humpty Dance,Digital Underground,1,3OcQkcvTcohs8vO8Rd3sKF
62,I'll Be Your Shelter,Taylor Dayne,1,4hbXvRJfgctBgz7PVBtWQu
63,Free Fallin',Tom Petty,1,5tVA6TkbaAH9QMITTQRrNv
64,Giving You the Benefit,Pebbles,1,2nNKXDFRz6cog1kolC3efq
65,Enjoy the Silence,Depeche Mode,1,1YwNlWLf8auhazSQUDQLFU
66,Love Song,Tesla,1,0vJUdIefT5caKla9H8b1q4
67,Price of Love,Bad English,1,56y9EmjGAAejQ6QX9blIGI
68,Girls Nite Out,Tyler Collins,1,0
69,King of Wishful Thinking,Go West,1,4UQLQJu3DNvVkMVglwElU2
70,What Kind of Man Would I Be?,Chicago,1,3oCUfoqrkQiapnJk7UL8IE
71,I Remember You,Skid Row,1,4ZpXHlV2vQVfPXUvbDSZ92
72,Get Up! (Before the Night Is Over),Technotronic,1,2MOOJh1xUgND4rLjB6h4jY
73,Here We Are,Gloria Estefan,1,4asTNYhhrp323lLp81KIKQ
74,Epic,Faith No More,1,4ReyTz0y3TGkX48wO3Llot
75,Love Takes Time,Mariah Carey,1,48l7PNpT2fBoT4cdLW6EzP
76,Just Like Jesse James,Cher,1,5JGdpqo9wrRtOZtui5GShI
77,Love Shack,The B-52s,1,4W4wYHtsrgDiivRASVOINL
78,All or Nothing,Milli Vanilli,1,7sS1P9f8SDyl03hqC1etWU
79,Romeo,Dino,1,7xez8LRby1hw2nBvse9E9e
80,Everybody Everybody,Black Box,1,6wBMTv8yTiNh50fqTkT0JC
81,I Go to Extremes,Billy Joel,1,16LYB0chkPiblx33djiNTt
82,Whip Appeal,Babyface,1,4D13ulAZI1V7PG7Zg1Ar7r
83,Oh Girl,Paul Young,1,0YqhqbLNpfQetrwuLaVTiK
84,C'mon and Get My Love,D Mob,1,2M3YldsyQfOixYWqwagtse
85,(It's Just) The Way That You Love Me,Paula Abdul,1,0
86,We Can't Go Wrong,The Cover Girls,1,1DTLJp3baHKyTYZMWD4zgp
87,When I'm Back on My Feet Again,Michael Bolton,1,47SOobTLWvyZpUfpmuUARJ
88,Make You Sweat,Keith Sweat,1,3iI6xZkQSWGjWx5phFVLn2
89,This One's for the Children,New Kids on the Block,1,78bDGxqn2KF2VU1G3Kz6J0
90,What It Takes,Aerosmith,1,2fAYTT9kcUm8tnUrhD80sC
91,Forever,Kiss,1,2o4u19nlQWOGg5mLanT7Pg
92,Jerk Out,The Time,1,2QzLYgjE7zTj1lb6Wi1aPx
93,Just a Friend,Biz Markie,1,3yNVfRQlUPViUh8O2V9SQn
94,Whole Wide World,A'Me Lorain,1,0
95,Without You,Mötley Crüe,1,0R8Danl4L4Tq00OiYFygSM
96,Swing the Mood,Jive Bunny and the Mastermixers,1,3Aimpqxpvmz7jhJlNnEd5c
97,Thieves in the Temple,Prince,1,403oiKw757eJnbDKPSjhHV
98,Mentirosa,Mellow Man Ace,1,3P6fS71hWhZvOnnxQojJ0Z
99,Tic-Tac-Toe,Kyper,1,4WqIpnqW9EvBXlT4jJFa0M
100,(Everything I Do) I Do It for You,Bryan Adams,1,6eBK3edMW7bEzecF1eCezc
101,I Wanna Sex You Up,Color Me Badd,1,3lsse1FoSHnNXc6y0jHxvd
102,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,1,7eheoW4hxrH51ww2QePVwF
103,Rush Rush,Paula Abdul,1,015qd1I4v00JIoK7yOUgKC
104,One More Try,Timmy T,1,2drQ6wg2hdl6RDslarifh8
105,Unbelievable,EMF,1,5VYTKiOnHw4iTrB9pG3yum
106,More Than Words,Extreme,1,1gVgkQFOKa8Wc1HYsJtPdH
107,I Like the Way (The Kissing Game),Hi-Five,1,3Bxh1eakGL3wMRiqEVzEJe
108,The First Time,Surface,1,4iqnWPNCt4hhZ96KhjlJKq
109,Baby Baby,Amy Grant,1,3IDsegNBHC4pjGCOMTQYlU
110,Motownphilly,Boyz II Men,1,4wDSLkTUIpRsn3UbCzW9wV
111,Because I Love You (The Postman Song),Stevie B,1,3OH9fyhypFU09jR6XL6rqM
112,Someday,Mariah Carey,1,6TSM5vkz0WzyZsNAKKYDcw
113,High Enough,Damn Yankees,1,5t5rCnsgRBtcKqTB7SbD1Q
114,From a Distance,Bette Midler,1,48eiLW57CqSmCYNZRM2J8M
115,All the Man That I Need,Whitney Houston,1,07M76e7IXxYdnC1BBiJxEX
116,"Right Here, Right Now",Jesus Jones,1,3fcGGP62sllcNEhuFJVYeC
117,I Adore Mi Amor,Color Me Badd,1,05R2lE5g9hnaSmxIrUl3C0
118,Love Will Never Do (Without You),Janet Jackson,1,1SkJ8HjZUZRPYT3R2rh5sA
119,Good Vibrations,Marky Mark and the Funky Bunch,1,5hWdgGVcfTeLPAiHM6EZG9
120,Justify My Love,Madonna,1,6BWRvw630R8z2vNMok6quI
121,Emotions,Mariah Carey,1,0cELvuwJW1acISUHYB6suj
122,Joyride,Roxette,1,3Skwc4sh1QHUGcWrFBFWSF
123,Romantic,Karyn White,1,1eDCizNe4EQMj7okkjIeXo
