,Song,Artist,Billboard100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
1,in the end,linkin park,0,60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3.0,-5.87,0.0,0.0584,0.00958,0.0,0.209,0.4,105.143,216880.0,4.0
2,seven nation army,the white stripes,0,7i6r9KotUPQg3ozKKgEPIN,0.737,0.463,0.0,-7.828,1.0,0.0792,0.00817,0.447,0.255,0.324,123.881,231733.0,4.0
3,by the way,red hot chili peppers,0,1f2V8U1BiWaC9aJWmpOARe,0.451,0.97,0.0,-4.938,1.0,0.107,0.0264,0.00355,0.102,0.198,122.444,216933.0,4.0
5,bring me to life,evanescence,0,0COqiPhxzoWICwFCS4eZcp,0.331,0.943,4.0,-3.188,0.0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,235893.0,4.0
6,last resort,papa roach,0,5W8YXBz9MTIDyrpYaCg2Ky,0.589,0.89,4.0,-3.719,0.0,0.0603,0.000481,0.00082,0.201,0.692,90.598,199907.0,4.0
9,sex on fire,kings of leon,0,0ntQJM78wzOLVeCUAW7Y45,0.542,0.905,9.0,-5.653,1.0,0.054,0.00172,0.0104,0.136,0.374,153.398,203347.0,4.0
12,smooth criminal,alien ant farm,0,5z6xHjCZr7a7AIcy8sPBKy,0.653,0.964,9.0,-4.261,0.0,0.0582,0.00316,0.00512,0.144,0.87,126.928,209267.0,4.0
14,chop suey!,system of a down,0,2DlHlPMa4M17kufBvI2lEN,0.419,0.934,7.0,-3.908,0.0,0.12,0.000278,0.0015,0.132,0.286,127.288,210240.0,4.0
15,take me out,franz ferdinand,0,6ooluO7DiEhI1zmK94nRCM,0.278,0.676,9.0,-8.821,1.0,0.0371,0.000423,0.000899,0.136,0.494,104.545,237027.0,4.0
20,the kill (bury me),thirty seconds to mars,0,232FvPwx9QqPtvob5aSDKv,0.303,0.926,4.0,-3.945,0.0,0.0695,0.00115,0.00235,0.275,0.272,182.915,233427.0,3.0
22,no one knows,queens of the stone age,0,6NvRxjfYkkT2SpirAlmsjH,0.511,0.581,0.0,-4.93,1.0,0.0581,0.031,0.000171,0.367,0.668,170.852,278707.0,4.0
23,jerk it out,caesars,0,6sbp4i2FtlsQSVMepZPG9c,0.58,0.981,8.0,-2.603,0.0,0.06,0.0171,1.07e-05,0.386,0.861,134.007,195667.0,4.0
24,uprising,muse,0,4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,2.0,-4.046,1.0,0.0775,0.000202,0.064,0.117,0.411,128.019,304840.0,4.0
27,american idiot,green day,0,6nTiIhLmQ3FWhvrGafw2zj,0.38,0.988,1.0,-2.042,1.0,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,176346.0,4.0
33,i hate everything about you,three days grace,0,6rUp7v3l8yC4TKxAAR5Bmx,0.498,0.83,6.0,-5.157,0.0,0.0421,0.00461,0.0,0.139,0.453,89.342,231480.0,4.0
34,rollin' (air raid vehicle),limp bizkit,0,3IV4swNduIRunHREK80owz,0.603,0.933,1.0,-3.358,1.0,0.171,0.00591,0.0,0.206,0.709,96.306,213760.0,4.0
35,fat lip,sum 41,0,4KacUpvbA3Mfo05gttTjhN,0.402,0.914,9.0,-5.215,1.0,0.142,0.000579,0.0,0.065,0.626,196.505,178267.0,4.0
