,Song,Artist,Billboard100,URI
1,In The End,Linkin Park,0,60a0Rd6pjrkxjPbaKzXjfq
2,Seven Nation Army,The White Stripes,0,7i6r9KotUPQg3ozKKgEPIN
3,By The Way,Red Hot Chili Peppers,0,1f2V8U1BiWaC9aJWmpOARe
5,Bring Me To Life,Evanescence,0,0COqiPhxzoWICwFCS4eZcp
6,Last Resort,Papa Roach,0,5W8YXBz9MTIDyrpYaCg2Ky
9,Sex on Fire,Kings of Leon,0,0ntQJM78wzOLVeCUAW7Y45
12,Smooth Criminal,Alien Ant Farm,0,5z6xHjCZr7a7AIcy8sPBKy
14,Chop Suey!,System Of A Down,0,2DlHlPMa4M17kufBvI2lEN
15,Take Me Out,Franz Ferdinand,0,6ooluO7DiEhI1zmK94nRCM
20,The Kill (Bury Me),Thirty Seconds To Mars,0,232FvPwx9QqPtvob5aSDKv
22,No One Knows,Queens of the Stone Age,0,6NvRxjfYkkT2SpirAlmsjH
23,Jerk It Out,Caesars,0,6sbp4i2FtlsQSVMepZPG9c
24,Uprising,Muse,0,4VqPOruhp5EdPBeR92t6lQ
27,American Idiot,Green Day,0,6nTiIhLmQ3FWhvrGafw2zj
33,I Hate Everything About You,Three Days Grace,0,6rUp7v3l8yC4TKxAAR5Bmx
34,Rollin' (Air Raid Vehicle),Limp Bizkit,0,3IV4swNduIRunHREK80owz
35,Fat Lip,Sum 41,0,4KacUpvbA3Mfo05gttTjhN
36,The Pretender,Foo Fighters,0,7x8dCjCr0x6x2lXKujYD34
37,Savior,Rise Against,0,3asFGFY3uLjMDmML1p0tYm
38,Bodies,Drowning Pool,0,7CpbhqKUedOIrcvc94p60Y
40,Last Nite,The Strokes,0,3SUusuA9jH1v6PVwtYMbdv
41,Through Glass,Stone Sour,0,5NeIONQWJ25uPylJBJiO4c
42,The Diary of Jane - Single Version,Breaking Benjamin,0,0faXHILILebCGnJBPU6KJJ
43,Down With the Sickness,Disturbed,0,40rvBMQizxkIqnjPdEWY1v
44,Wish You Were Here,Incubus,0,6KtLECDztnah63TNmV4Plw
45,Youth Of The Nation,P.O.D.,0,0
46,Vertigo,U2,0,57ZXcBtCZXSg9TVV5xRdnR
47,Miss Murder,AFI,0,0Ti2dlF2xLjXblvdU5fCxM
48,I Bet You Look Good On The Dancefloor,Arctic Monkeys,0,29EkMZmUNz1WsuzaMtVo1i
49,"Steady, As She Goes",The Raconteurs,0,19iqWNzp5LwEdvntpEK8MP
50,Falling Away from Me,Korn,0,2F6FfZ4w8z3eJpSxPotVO5
51,Crawling In The Dark,Hoobastank,0,3wli6CFsUwYEuLZTIuCwt3
52,I Stand Alone,Godsmack,0,44NRdYQw7P0GWuiunRv3hr
53,Woman,Wolfmother,0,3CkjLJYnnyOtGk4Jx4iYS4
54,Show Me How to Live,Audioslave,0,1Qdnvn4XlmZANCVy3XjrQo
55,The Red,Chevelle,0,1gyee1JuFFiP476LQpRMYU
56,Remedy,Seether,0,5ynxx6zC4dgzsMHLYQ04Dc
57,Plug In Baby,Muse,0,429MqIq5nGH32feyRZHunv
58,Change (In the House of Flies) - In The House Of Flies LP Version,Deftones,0,51c94ac31swyDQj9B3Lzs3
59,Judith,A Perfect Circle,0,5KDNFlHAdDJ84fhK27c35X
60,MIA (feat. Drake),Bad Bunny,0,116H0KvKr2Zl4RPuVBruDO
61,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,0,4w8niZpiMy6qz1mntFA5uM
62,White Boi,Dillon Francis,0,2X7pHBr2TJl0yZ97B2vz40
63,Just Wanna Love You (feat. J. Balvin),Cris Cab,0,3d0j5Tkx2Yum7FhMvJZe85
64,Beautiful (feat. Camila Cabello),Bazzi,0,4VUwkH455At9kENOfzTqmF
65,Celoso,Lele Pons,0,33zcmmElV1YbRZe57biUjg
66,Good Vibes,Fuego,0,4TwIbmabI2R5XUhqptk6Ev
67,Real Friends,Camila Cabello,0,5vnpANH92iEajvGwE2oQ6r
68,Pa La Calle,COASTCITY,0,5MS3LTJ8zXkxMobDgFhvMC
69,Pa Mí,Dalex,0,7g8YaUQABMal0zWe7a2ijz
70,Wake Up in the Sky,Gucci Mane,0,0QIjsbm2fh1cJ45XO9eGqq
71,Está Rico,Marc Anthony,0,2wRkBumdItthjYP9XknImg
72,Banana Clip - Spanish Version,Miguel,0,3sZB7cAJkbVkeWz1dMJ2Sy
73,YAKWTFGO (feat. Kali Uchis),BIA,0,0
74,Come With Me,Kap G,0,0k9Dqeik4DvPIbaOHglvFS
75,Como Si Na,Melii,0,7LAK1HqDfxTt7HvSJ0px2M
76,Blah,Mariah,0,5KOWiETj1KBUUe1oMohuHX
77,Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),A.CHAL,0,0
78,Mi Infinita,Cuco,0,34jrXQENVMzhDQHmjOJpA1
79,Coqueta,Katzù Oso,0,66ddt3E6KGEpRhJVchDnz3
80,Sola,Jessie Reyez,0,3doK7YkkgMtfD6qoXCkTWh
81,Nuestro Planeta (feat. Reykon),Kali Uchis,0,12TOa8pzhbLTWh1vxIsPMp
82,Hijo de Su Madre,Omar Apollo,0,2LGR3T1xZwuELcOi6DpMXY
83,Lento,Rudy Mancuso,0,3TqVwe3IkJGvnFpbYvh9pu
84,Dicen,Matt Hunter,0,4cfoVJxpHqUqTvBrG1RTyi
85,BEBE,6ix9ine,0,6mKs2kkBgvf090H566n1pd
87,Zooted (feat. French Montana & Farruko),Becky G,0,3clw56k8jqFaXnwdejV4Yo
88,Havana - Remix,Camila Cabello,0,3whrwq4DtvucphBPUogRuJ
89,Pum Pum,Sammi Sanchez,0,08d7h5o87QHdxIJ8qwgvgh
90,Quiero Saber,Jesse Baez,0,3hbJTkEZUwGR7o74InfR3D
91,Como,Kim Viera,0,2sVQ3guXjN1KB3BiuZHaFD
92,Anywhere Contigo,Breakfast n Vegas,0,5pc9qadiig2q84FABIGHsn
93,No Gratis,Messiah,0,0YNZO6VgdOUDvB5T2yMGnL
94,Díganle - Tainy Remix,Leslie Grace,0,1l89iNLbzfFN9TsWJORolB
95,Sangria Wine,Pharrell Williams,0,6XlSyYFTU1nodeWwwzVgTV
96,All Day,DaniLeigh,0,1gxrzphu3xwlZAQhtvNBMK
97,Just As I Am,Spiff TV,0,1iKMpywaaihrz8gqaRqzp1
99,Scooby Doo Pa Pa (Remix),Dj Kass,0,1qn6qJieOnISqDvhAsnyKT
100,Don't Werk,Paula DeAnda,0,1GXwLx1iRQWDiyC8lxzTbL
101,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,0,4QtiVmuA88tPQiCOHZuQ5b
102,Pa Mi (with Ozuna),Tory Lanez,0,0CYLDwvvpJQySLA5CvqvSl
103,Lo Siento,SUPER JUNIOR,0,2VVqxQhALecXvaArlZSVXr
104,Nuestra Cancion Pt. 2 (feat. Arcángel),Snow Tha Product,0,6fXcO9KlWgg4zAgEHDg84i
105,La Hora Loca,Jackie Cruz,0,3slEtqOv6jsy9BlRlqxy4C
106,Dinero - English Version,Trinidad Cardona,0,1VNYba9ONwMhB32QdqU0ms
107,Pum Pum (feat. Kap G & Play-N-Skillz),Messiah,0,3Aisht63nuyccguwcW3ek5
108,Hora Loca,DJ Africa,0,0IfyEwBIhH64zdIHoKOFys
109,Better With You,Michl,0,1FjHxl8B28sXj7eVfxdST4
110,NIGHTS LIKE THESE,Ne-Yo,0,0
112,Insecure,Amara La Negra,0,5vad0eq5x3f3rtRlo8GnL4
113,Si Una Vez - (If I Once)[Spanglish Version],Play-N-Skillz,0,0
114,Finesse (Remix) [feat. Cardi B],Bruno Mars,0,0
