,Song,Artist,Billboard100,URI
1,in the end,linkin park,0,60a0Rd6pjrkxjPbaKzXjfq
2,seven nation army,the white stripes,0,7i6r9KotUPQg3ozKKgEPIN
3,by the way,red hot chili peppers,0,1f2V8U1BiWaC9aJWmpOARe
5,bring me to life,evanescence,0,0COqiPhxzoWICwFCS4eZcp
6,last resort,papa roach,0,5W8YXBz9MTIDyrpYaCg2Ky
9,sex on fire,kings of leon,0,0ntQJM78wzOLVeCUAW7Y45
12,smooth criminal,alien ant farm,0,5z6xHjCZr7a7AIcy8sPBKy
14,chop suey!,system of a down,0,2DlHlPMa4M17kufBvI2lEN
15,take me out,franz ferdinand,0,6ooluO7DiEhI1zmK94nRCM
20,the kill (bury me),thirty seconds to mars,0,232FvPwx9QqPtvob5aSDKv
22,no one knows,queens of the stone age,0,6NvRxjfYkkT2SpirAlmsjH
23,jerk it out,caesars,0,6sbp4i2FtlsQSVMepZPG9c
24,uprising,muse,0,4VqPOruhp5EdPBeR92t6lQ
27,american idiot,green day,0,6nTiIhLmQ3FWhvrGafw2zj
33,i hate everything about you,three days grace,0,6rUp7v3l8yC4TKxAAR5Bmx
34,rollin' (air raid vehicle),limp bizkit,0,3IV4swNduIRunHREK80owz
35,fat lip,sum 41,0,4KacUpvbA3Mfo05gttTjhN
36,the pretender,foo fighters,0,7x8dCjCr0x6x2lXKujYD34
37,savior,rise against,0,3asFGFY3uLjMDmML1p0tYm
38,bodies,drowning pool,0,7CpbhqKUedOIrcvc94p60Y
40,last nite,the strokes,0,3SUusuA9jH1v6PVwtYMbdv
41,through glass,stone sour,0,5NeIONQWJ25uPylJBJiO4c
42,the diary of jane - single version,breaking benjamin,0,0faXHILILebCGnJBPU6KJJ
43,down with the sickness,disturbed,0,40rvBMQizxkIqnjPdEWY1v
44,wish you were here,incubus,0,6KtLECDztnah63TNmV4Plw
45,youth of the nation,p.o.d.,0,0
46,vertigo,u2,0,57ZXcBtCZXSg9TVV5xRdnR
47,miss murder,afi,0,0Ti2dlF2xLjXblvdU5fCxM
48,i bet you look good on the dancefloor,arctic monkeys,0,29EkMZmUNz1WsuzaMtVo1i
49,"steady, as she goes",the raconteurs,0,19iqWNzp5LwEdvntpEK8MP
50,falling away from me,korn,0,2F6FfZ4w8z3eJpSxPotVO5
51,crawling in the dark,hoobastank,0,3wli6CFsUwYEuLZTIuCwt3
52,i stand alone,godsmack,0,44NRdYQw7P0GWuiunRv3hr
53,woman,wolfmother,0,3CkjLJYnnyOtGk4Jx4iYS4
54,show me how to live,audioslave,0,1Qdnvn4XlmZANCVy3XjrQo
55,the red,chevelle,0,1gyee1JuFFiP476LQpRMYU
56,remedy,seether,0,5ynxx6zC4dgzsMHLYQ04Dc
57,plug in baby,muse,0,429MqIq5nGH32feyRZHunv
58,change (in the house of flies) - in the house of flies lp version,deftones,0,51c94ac31swyDQj9B3Lzs3
59,judith,a perfect circle,0,5KDNFlHAdDJ84fhK27c35X
60,mia (feat. drake),bad bunny,0,116H0KvKr2Zl4RPuVBruDO
61,"taki taki (with selena gomez, ozuna & cardi b)",dj snake,0,4w8niZpiMy6qz1mntFA5uM
62,white boi,dillon francis,0,2X7pHBr2TJl0yZ97B2vz40
63,just wanna love you (feat. j. balvin),cris cab,0,3d0j5Tkx2Yum7FhMvJZe85
64,beautiful (feat. camila cabello),bazzi,0,4VUwkH455At9kENOfzTqmF
65,celoso,lele pons,0,33zcmmElV1YbRZe57biUjg
66,good vibes,fuego,0,4TwIbmabI2R5XUhqptk6Ev
67,real friends,camila cabello,0,5vnpANH92iEajvGwE2oQ6r
68,pa la calle,coastcity,0,5MS3LTJ8zXkxMobDgFhvMC
69,pa mí,dalex,0,7g8YaUQABMal0zWe7a2ijz
70,wake up in the sky,gucci mane,0,0QIjsbm2fh1cJ45XO9eGqq
71,está rico,marc anthony,0,2wRkBumdItthjYP9XknImg
72,banana clip - spanish version,miguel,0,3sZB7cAJkbVkeWz1dMJ2Sy
73,yakwtfgo (feat. kali uchis),bia,0,0
74,come with me,kap g,0,0k9Dqeik4DvPIbaOHglvFS
75,como si na,melii,0,7LAK1HqDfxTt7HvSJ0px2M
76,blah,mariah,0,5KOWiETj1KBUUe1oMohuHX
77,love n hennessy remix (feat. 2 chainz & nicky jam),a.chal,0,0
78,mi infinita,cuco,0,34jrXQENVMzhDQHmjOJpA1
79,coqueta,katzù oso,0,66ddt3E6KGEpRhJVchDnz3
80,sola,jessie reyez,0,3doK7YkkgMtfD6qoXCkTWh
81,nuestro planeta (feat. reykon),kali uchis,0,12TOa8pzhbLTWh1vxIsPMp
82,hijo de su madre,omar apollo,0,2LGR3T1xZwuELcOi6DpMXY
83,lento,rudy mancuso,0,3TqVwe3IkJGvnFpbYvh9pu
84,dicen,matt hunter,0,4cfoVJxpHqUqTvBrG1RTyi
85,bebe,6ix9ine,0,6mKs2kkBgvf090H566n1pd
87,zooted (feat. french montana & farruko),becky g,0,3clw56k8jqFaXnwdejV4Yo
88,havana - remix,camila cabello,0,3whrwq4DtvucphBPUogRuJ
89,pum pum,sammi sanchez,0,08d7h5o87QHdxIJ8qwgvgh
90,quiero saber,jesse baez,0,3hbJTkEZUwGR7o74InfR3D
91,como,kim viera,0,2sVQ3guXjN1KB3BiuZHaFD
92,anywhere contigo,breakfast n vegas,0,5pc9qadiig2q84FABIGHsn
93,no gratis,messiah,0,0YNZO6VgdOUDvB5T2yMGnL
94,díganle - tainy remix,leslie grace,0,1l89iNLbzfFN9TsWJORolB
95,sangria wine,pharrell williams,0,6XlSyYFTU1nodeWwwzVgTV
96,all day,danileigh,0,1gxrzphu3xwlZAQhtvNBMK
97,just as i am,spiff tv,0,1iKMpywaaihrz8gqaRqzp1
99,scooby doo pa pa (remix),dj kass,0,1qn6qJieOnISqDvhAsnyKT
100,don't werk,paula deanda,0,1GXwLx1iRQWDiyC8lxzTbL
101,"1, 2, 3 (feat. jason derulo & de la ghetto)",sofia reyes,0,4QtiVmuA88tPQiCOHZuQ5b
102,pa mi (with ozuna),tory lanez,0,0CYLDwvvpJQySLA5CvqvSl
103,lo siento,super junior,0,2VVqxQhALecXvaArlZSVXr
104,nuestra cancion pt. 2 (feat. arcángel),snow tha product,0,6fXcO9KlWgg4zAgEHDg84i
105,la hora loca,jackie cruz,0,3slEtqOv6jsy9BlRlqxy4C
106,dinero - english version,trinidad cardona,0,1VNYba9ONwMhB32QdqU0ms
107,pum pum (feat. kap g & play-n-skillz),messiah,0,3Aisht63nuyccguwcW3ek5
108,hora loca,dj africa,0,0IfyEwBIhH64zdIHoKOFys
109,better with you,michl,0,1FjHxl8B28sXj7eVfxdST4
110,nights like these,ne-yo,0,0
112,insecure,amara la negra,0,5vad0eq5x3f3rtRlo8GnL4
113,si una vez - (if i once)[spanglish version],play-n-skillz,0,0
114,finesse (remix) [feat. cardi b],bruno mars,0,0
115,belong to u,fancy cars,0,6pG8mlZHcSt14eQCOQxA2N
116,sunny daze,salaam remi,0,3whp8PfpRw1xqzz7rbIzN4
117,"uno más feat. pharrell williams, miguel, wiz khalifa, j alvarez (remix)",n.o.r.e.,0,0
118,island,lil eddie,0,4an3AHqtVPXx9fHdcvoyKE
119,crazy in love,beyoncé,0,5IVuqXILoxVWvWEPm82Jxr
123,michael jackson x mark ronson: diamonds are invincible,michael jackson,0,7jRs0CvNctNBNH1roANQdY
125,live your life (feat. rihanna),t.i.,0,0
129,love never felt so good,michael jackson,0,48td6xvpokdYwvbl3JIiXP
132,drops of jupiter,train,0,2hKdd3qO7cWr2Jo0Bcs0MA
136,hey ya! - radio mix / club mix,outkast,0,0
