,ID,Song,Artist,Billboard100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature,lyrics,explicit,Genre,Year
37,60,mia (feat. drake),bad bunny,0,116H0KvKr2Zl4RPuVBruDO,0.817,0.539,6.0,-6.349,0.0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368.0,4.0,"Bad Bunny, baby, bebé
Yeh-yeh-yeh-yeh

Yeah
Todos están pendiente' a ti
Pero tú puesta pa' mí
Haciendo que me odien más
Porque todos te quieren probar
Lo que no saben es que no te dejas llevar de cualquiera
Y todos te quieren probar
Lo que no saben es que hoy yo te voy a buscar

Dile que tú eres mía, mía
Tú sabe' que eres mía, mía
Tú misma lo decías
Cuando yo te lo hacía

Yeh, dile que tú eres mía, mía
Tú sabe' que eres mía, mía
Tú a mí me lo decías
Cuando yo te lo hacía
(Yeah-yeah-yeah-yeah)

Bebé, yo soy fan de tu caminar
Te doy todo lo mío, hasta mi respirar
Contigo veo todo como en espiral
Quiero tirarnos fotos y que se hagan viral
...

",0.0,rap,2018
38,61,"taki taki (with selena gomez, ozuna & cardi b)",dj snake,0,4w8niZpiMy6qz1mntFA5uM,0.842,0.801,8.0,-4.167,0.0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500.0,4.0,"Oh, oh, oh, oh

Báilame como si fuera la última vez
Y enséñame ese pasito que no sé
Un besito bien suavecito, bebé
Taki taki
Taki taki, rumba

Oh, oh, oh, oh
Hi Music Hi Flow (Snake)

Báilame como si fuera la última vez
Y enséñame ese pasito que no sé
Un besito bien suavecito, bebé
Taki taki
Taki taki

Taki, taki
Quiere un besito o un ñaqui
Booty explota como Nagasaki
Prende los motores Kawasaki
Que la disco está llena
Y llegaron los Anunnakis
No le bajes

El booty sobresale de tu traje
No trajo pantisito pa' que el nene no trabaje
Es que yo me sé lo que ella cree que ella se sabe
Cuenta que no quiere pero me tiene espionaje, eh eh

El booty sobresale de tu traje
No trajo pantisito pa' que el nene no trabaje
Es que yo me sé lo que ella cree que ella se sabe
...

",1.0,rap,2018
39,62,white boi,dillon francis,0,2X7pHBr2TJl0yZ97B2vz40,0.83,0.497,1.0,-6.94,1.0,0.052,0.0983,0.0,0.0906,0.634,127.965,185282.0,4.0,"Hey papi what I wish
Ya, you my favorite dish
Can I get a taste?
Baby can I get a lick?
No entiende mi Spanglish
But you can read my body language, ya my body

Fell in love with a white boi
He's my hot boi
He knows how to turn me on
Always gives me what I want
He's my white boi
Ya my hot boi
Sabe bien lo que hay que hacer
Para darme todo el placer (yea)

Fell in love with a (white boi boi boi boi)
Fell in love with a (white boi boi boi boi)
Fell in love with a (white boi boi boi boi)
Fell in love with a (white boi boi boi boi)

Hola mami tú te pones muy rabiosa
...

",0.0,pop,2018
40,63,just wanna love you (feat. j. balvin),cris cab,0,3d0j5Tkx2Yum7FhMvJZe85,0.687,0.766,11.0,-6.08,1.0,0.054,0.0557,0.00107,0.146,0.303,94.973,199231.0,4.0,"I don't know what you're saying
It's not that complicated
So why don't we just clear the air?

All this time we're wasting
And I've been more that patient
It feels like you don't seem to care

And all of my life I've known
It's you I been looking for
I just can't let you go

Baby, I just wanna love you
Want to love you
I've got to love you, eh
Baby, I just wanna love you
Want to love you
Got to love you, eh
Baby, I just wanna

(Baby, I just want
...

",0.0,rap,2018
41,64,beautiful (feat. camila cabello),bazzi,0,4VUwkH455At9kENOfzTqmF,0.638,0.717,2.0,-4.722,1.0,0.0337,0.346,0.0,0.105,0.249,100.027,180000.0,4.0,"Hey
Beautiful, beautiful, beautiful, beautiful angel
Love your imperfections, every angle
Tomorrow comes and goes before you know
So I just had to let you know

The way that Gucci look on you, amazin'
But nothin' can compare to when you're naked
Now a Backwood and some Henny got you faded
You're sayin' you're the one for me, I need to face it

Started when we were younger
Swear to God that I loved her
Sorry that your mum found out
Guess that we just really had the thunder

Ain't nobody else that I'd be under
Beautiful, beautiful life right now
Beautiful, beautiful night right now
...

",0.0,pop,2018
42,65,celoso,lele pons,0,33zcmmElV1YbRZe57biUjg,0.746,0.703,4.0,-4.179,0.0,0.107,0.352,0.0,0.331,0.667,166.043,179693.0,4.0,"Cinco 'e la mañana, tú me llama' (Woo)
Solo pa' ver quién está en mi cama (Ah)
Yo no tengo tiempo pa' tu' drama'
A mí no me llame' a la cinco 'e la mañana

Porque de seguro ando de rumba con mi hermana
Tú quieres llamarme y solo cuando tienes ganas (Tienes ganas)
Yo quiero bailar esta noche
Voy a disfrutar sin reproches

Te pone' celoso si me ve' con otro
Hago lo que quiero, yo solo me la gozo
Te pone' celoso si bailo con otro
Yo no soy de ellos, ni tuya tampoco

Sé que me celas y yo te veo
Y tú me miras, yo me meneo (Ey)
Te pone' celoso si bailo con otro
Yo hago lo que quiero, yo solo me la gozo

Le hago rom-pom-pom, pom-pom-pom-pom (Mucho cuidao')
Tú quieres rom-pom-pom, pom-pom-pom-pom
Le hago rom-pom-pom, pom-pom-pom-pom (Mucho cuidao')
Tú quieres rom-pom-pom, pom-pom-pom-pom
...

",0.0,pop,2018
43,66,good vibes,fuego,0,4TwIbmabI2R5XUhqptk6Ev,0.823,0.63,7.0,-3.932,1.0,0.0797,0.0348,6.72e-06,0.0964,0.184,100.04,235720.0,4.0,"Fireboy
(Yeh-yeh)

Ahora ella es mala contigo y buena conmigo
Porque conmigo la flechó Cupido
Ahora no hay tiempo pa' ti, es así de sencillo
A ella le gusta estar solo conmigo

Solo le traigo good vibes
Con par de tragos goodnight
I know how to make it feel right (Make you feel right)

Baby, quiero tenerte
Toda la noche besarte
Voy a satisfacerte, all night (Yeh-eh-eh)

Ah y yo te quito el estrés
Llámame, sé que sales a las tres
Te paso a buscar en mi maquinón
Quítale la tapa, dale al botón

Tú eres mi diosa
Eres mi todapoderosa
Y cuando me besas (Besas)
Yo sé que yo te pongo nerviosa

Sé que necesitas de mi amor (Se mi amor)
Sé que no te supo dar calor (No te supo dar calor)
Sé que necesitas de mi amor (Sé que eres tú mi amor)
Sé que no te supo dar calor (No te supo dar calor)
...

",0.0,rap,2018
44,67,real friends,camila cabello,0,5vnpANH92iEajvGwE2oQ6r,0.701,0.512,0.0,-6.869,0.0,0.0969,0.235,5.07e-06,0.135,0.663,91.947,223583.0,4.0,"No, I think I'll stay in tonight
Skip the conversations and the ""oh, I'm fine""s
No, I'm no stranger to surprise
This paper town has let me down too many times
Why do I even try? Give me a reason why
I thought that I could trust you, nevermind
Why all the switching sides? Where do I draw the line?
I guess I'm too naive to read the signs

I'm just lookin' for some real friends
All they ever do is let me down
Every time I let somebody in
Then I find out what they're all about
I'm just lookin' for some real friends
Wonder where they're all hidin' out
I'm just lookin' for some real friends
Gotta get up out of this town, oh

...

",0.0,pop,2018
45,70,wake up in the sky,gucci mane,0,0QIjsbm2fh1cJ45XO9eGqq,0.8,0.578,4.0,-5.144,0.0,0.0485,0.00381,0.0,0.359,0.367,143.01,204665.0,4.0,"Fly, fly, fly
It's Gucci (it's Gucci)
Huh? Fly (woo)

I drink 'til I'm drunk (yeah), smoke til I'm high (yeah)
Castle on the hill (well damn), wake up in the sky
You can't tell me I ain't fly (you can't tell me I ain't fly)
I know I'm super fly (I know), I know I'm super fly (I know)
The ladies love the luxury (yeah),
That's why they all fuck with me (woo)
Out here with the moves (yeesh) like I invented smooth
You can't tell me I ain't fly (you can't tell me I ain't fly)
I know I'm super fly (I know), I know I'm super fly

Huh, huh, huh
I stay fresh as hell, take a pic, I might as well, hell
Drop the top and take a selfie, my car drives itself
I got white girls blushin', homie, college girls rushin' on me (woo)
All my diamonds custom so they clutchin' and they touchin' on me

Ooh, pack his vegetables
Ooh, pack his edible
Ooh, it's incredible
Ooh, ooh, ooh
I smell like Bond Number 9, nine
Section full of foreign dimes
Bitch is starin' at me sayin', ""Wow""
...",1.0,rap,2018
46,71,está rico,marc anthony,0,2wRkBumdItthjYP9XknImg,0.817,0.74,11.0,-4.566,0.0,0.283,0.266,0.0,0.0992,0.674,130.04,215151.0,4.0,"Marc Anthony
Bad Bunny baby-be-be-be, be-be-be
Will Smith
Haciendo historia
Haha, woo

Tú quieres algo y se te ve
Aquí hay ambiente, pa' ahora y pa' después
Ya tú probaste, la otra vez
Por eso sabes

Que esto está rico
Está rico
Está rico
Tú sabes que esto está rico

Está rico
Esto está rico
Tú sabes que esto está rico

Hola, yeah, it's the Prince
In an unmarked car with the tints
Marc Anthony with the new anthem
Yeah, I know, is a lil' intense

Ferragamo on the collar
We gon' mash a throttle in Miami harbor
Girl, you want me like a shadow
You make a move, make it matter

Hey now, well I guess we can play now
Blend my Philly way now
With your latina sway now
Sacude tu cadera (pull up)
Always taking pictures (wooh)
Laughing, blowing kisses
I think your delicious
...

",1.0,pop,2018
