,ID,Song,Artist,Billboard100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature,lyrics,explicit,Genre,Year
39,62,white boi,dillon francis,0,2X7pHBr2TJl0yZ97B2vz40,0.83,0.497,1.0,-6.94,1.0,0.052,0.0983,0.0,0.0906,0.634,127.965,185282.0,4.0,"Hey papi what I wish
Ya, you my favorite dish
Can I get a taste?
Baby can I get a lick?
No entiende mi Spanglish
But you can read my body language, ya my body

Fell in love with a white boi
He's my hot boi
He knows how to turn me on
Always gives me what I want
He's my white boi
Ya my hot boi
Sabe bien lo que hay que hacer
Para darme todo el placer (yea)

Fell in love with a (white boi boi boi boi)
Fell in love with a (white boi boi boi boi)
Fell in love with a (white boi boi boi boi)
Fell in love with a (white boi boi boi boi)

Hola mami tú te pones muy rabiosa
...

",0.0,pop,2018
41,64,beautiful (feat. camila cabello),bazzi,0,4VUwkH455At9kENOfzTqmF,0.638,0.717,2.0,-4.722,1.0,0.0337,0.346,0.0,0.105,0.249,100.027,180000.0,4.0,"Hey
Beautiful, beautiful, beautiful, beautiful angel
Love your imperfections, every angle
Tomorrow comes and goes before you know
So I just had to let you know

The way that Gucci look on you, amazin'
But nothin' can compare to when you're naked
Now a Backwood and some Henny got you faded
You're sayin' you're the one for me, I need to face it

Started when we were younger
Swear to God that I loved her
Sorry that your mum found out
Guess that we just really had the thunder

Ain't nobody else that I'd be under
Beautiful, beautiful life right now
Beautiful, beautiful night right now
...

",0.0,pop,2018
42,65,celoso,lele pons,0,33zcmmElV1YbRZe57biUjg,0.746,0.703,4.0,-4.179,0.0,0.107,0.352,0.0,0.331,0.667,166.043,179693.0,4.0,"Cinco 'e la mañana, tú me llama' (Woo)
Solo pa' ver quién está en mi cama (Ah)
Yo no tengo tiempo pa' tu' drama'
A mí no me llame' a la cinco 'e la mañana

Porque de seguro ando de rumba con mi hermana
Tú quieres llamarme y solo cuando tienes ganas (Tienes ganas)
Yo quiero bailar esta noche
Voy a disfrutar sin reproches

Te pone' celoso si me ve' con otro
Hago lo que quiero, yo solo me la gozo
Te pone' celoso si bailo con otro
Yo no soy de ellos, ni tuya tampoco

Sé que me celas y yo te veo
Y tú me miras, yo me meneo (Ey)
Te pone' celoso si bailo con otro
Yo hago lo que quiero, yo solo me la gozo

Le hago rom-pom-pom, pom-pom-pom-pom (Mucho cuidao')
Tú quieres rom-pom-pom, pom-pom-pom-pom
Le hago rom-pom-pom, pom-pom-pom-pom (Mucho cuidao')
Tú quieres rom-pom-pom, pom-pom-pom-pom
...

",0.0,pop,2018
44,67,real friends,camila cabello,0,5vnpANH92iEajvGwE2oQ6r,0.701,0.512,0.0,-6.869,0.0,0.0969,0.235,5.07e-06,0.135,0.663,91.947,223583.0,4.0,"No, I think I'll stay in tonight
Skip the conversations and the ""oh, I'm fine""s
No, I'm no stranger to surprise
This paper town has let me down too many times
Why do I even try? Give me a reason why
I thought that I could trust you, nevermind
Why all the switching sides? Where do I draw the line?
I guess I'm too naive to read the signs

I'm just lookin' for some real friends
All they ever do is let me down
Every time I let somebody in
Then I find out what they're all about
I'm just lookin' for some real friends
Wonder where they're all hidin' out
I'm just lookin' for some real friends
Gotta get up out of this town, oh

...

",0.0,pop,2018
46,71,está rico,marc anthony,0,2wRkBumdItthjYP9XknImg,0.817,0.74,11.0,-4.566,0.0,0.283,0.266,0.0,0.0992,0.674,130.04,215151.0,4.0,"Marc Anthony
Bad Bunny baby-be-be-be, be-be-be
Will Smith
Haciendo historia
Haha, woo

Tú quieres algo y se te ve
Aquí hay ambiente, pa' ahora y pa' después
Ya tú probaste, la otra vez
Por eso sabes

Que esto está rico
Está rico
Está rico
Tú sabes que esto está rico

Está rico
Esto está rico
Tú sabes que esto está rico

Hola, yeah, it's the Prince
In an unmarked car with the tints
Marc Anthony with the new anthem
Yeah, I know, is a lil' intense

Ferragamo on the collar
We gon' mash a throttle in Miami harbor
Girl, you want me like a shadow
You make a move, make it matter

Hey now, well I guess we can play now
Blend my Philly way now
With your latina sway now
Sacude tu cadera (pull up)
Always taking pictures (wooh)
Laughing, blowing kisses
I think your delicious
...

",1.0,pop,2018
47,72,banana clip - spanish version,miguel,0,3sZB7cAJkbVkeWz1dMJ2Sy,0.398,0.66,1.0,-5.626,0.0,0.12,0.107,0.0,0.121,0.719,83.828,202373.0,4.0,"La pasión letal, no va a matarnos (look around you)
Puedo confiar, ya ves nos encontramos (so glad I found you)
Tú y yo, los dos tocando el cielo (we reach a crescendo)
El amor se encontró, es tan perfecto (it's that extendo oh)

Mataría por ti (sí por ti), sabes que eso es así
No importa donde quieras estar (claro que sí)
Pero es que te protegeré (por eso)

Y todo esto lo hago por ti, si me lo pides (ha)
Yeah, yo disparo (ha), es lo que quieres, ¿no? (hahahaha)
Y todo esto lo hago por ti, uh, si me lo pides (ha)
Hey, yo disparo (ha), I guess I'm trigger happy

Tú sabes que yo, que yo, que yo soy tu tipo
(Way down for you, yeah)
Este amor letal es infinito
(It's that extendo) Oh yeah
...

",0.0,pop,2018
50,76,blah,mariah,0,5KOWiETj1KBUUe1oMohuHX,0.723,0.687,11.0,-4.632,0.0,0.2,0.0255,0.000207,0.124,0.777,173.747,188440.0,4.0,"Para que lo sepas del primero
Me hubiera dado cuenta si tu fuera un caballero
No me impresionaras hablando de dinero
Como si el amor se comprara en un cajero
Yo siempre pago mi cuenta
Yo sola pago mi renta, solita
No necesito a nadie que me ponga al dia
Y mucho menos quiero de tu compañía
Tu eres mucho mucho
Blah blah blah blah blah
Mucho mucho mucho
Blah blah blah blah blah
Mucho mucho mucho
Blah blah blah blah blah
Y nunca sale na
Con tu blah blah blah
Blah blah blah blah blah
Mucho mucho mucho
Blah blah blah blah blah
Mucho mucho mucho
Blah blah blah blah blah
Y nunca sale na
Con tu blah blah blah
No me conoce y dice que me quiere
No me conoce y dice que me ama
Boy desde lejos sabes lo que quieres
...

",0.0,pop,2018
51,78,mi infinita,cuco,0,34jrXQENVMzhDQHmjOJpA1,0.465,0.675,10.0,-7.555,1.0,0.0485,0.902,0.267,0.11,0.129,119.941,272000.0,4.0,"De a blanco y negro a color
Las flores brillan con tu amor
Chiquita nena no hay temor
Si de tu lado estoy yo

¿Que importa lo que digan de mí?
Tienen la razón si dicen que estoy loco por ti
Si me encunetro mirando estrellas
Espero que en el momento estés tú allí
Cuando estrenan películas de amor
Contigo las escenas quiero revivir
Como la pintura de un artista
...

",1.0,pop,2018
52,79,coqueta,katzù oso,0,66ddt3E6KGEpRhJVchDnz3,0.632,0.652,4.0,-10.558,1.0,0.0302,0.571,0.85,0.194,0.594,115.031,174000.0,4.0,"Me gustas por coqueta y altanera
Me gusta tu mirada insinuante
Me gusta todo lo que llevas puesta
Y por tu bella forma de menearte

Me gusta ver cómo te vuela el pelo
Cuando vas caminando por la calle
Y tu aroma se queda por el viento
Dándome valor para acompañarte

Me gustas por coqueta y altanera
Me gustas por coqueta
Cuando guiñes los ojos
Haces que pierda la cabeza

Te gusta que te admire todita la gente
Te digan que eres linda y se te sube a la mente
Que tienes cara de ángel y figura divina
Y que de todo el barrio eres la más bonita
...

",0.0,pop,2018
53,80,sola,jessie reyez,0,3doK7YkkgMtfD6qoXCkTWh,0.575,0.184,9.0,-10.26,1.0,0.0636,0.93,0.0,0.096,0.188,83.616,210013.0,4.0,"Te conviene no decirme que me quieres
Prefiero que te alejes, prefiero que me dejes sola
Te conviene no andar firmando papeles
Ni subir los decibeles, cuando estoy cerca de ti

Yo no soy el tipo de mujer con quien tu mamá te quiere ver
Me hacen falta tantas cosas y me fallan tantas otras
Nunca te podría complacer

Ellas son fieles. ellas son santas
Ellas son buenas, perdonan calladas
No hacen escenas, no piden nada
...

",0.0,pop,2018
